"name","code"
"AIO","010"
"MICROPC","020"
"MINIDT","030"
"MINITWR","040"
"SFF","050"
"TWR","060"
"LT","070"
"CHROME","080"
"TAB","090"
"SWITCH","100"
"RACKSERVER","110"
