"name","code"
"IMAC","0001"
"MAC","0002"
"IPAD","0003"
"OPT","0001"
"LAT","0002"
"INSP","0003"
"PREC","0004"
"XPS","0005"
"ELITE","0001"
"PRO","0002"
"ZBOOK","0004"
"PAVILION","0005"
"THINK","0001"
"SURFACE","0001"
"VARIOUS","0000"
